| Шаг | Вышли из лабиринта? | Слева есть стена? | Действие           | Можно шагнуть вперед? | Действие   

| 01  |        Нет          |         Да        |      -             |       Нет             |Повернуться на право  
| 02  |        Нет          |         Да        |      -             |         Да            |Шагнуть вперед         
| 03  |       Нет           |        Нет        |Повернуться на лево |        Да             |Шагнуть вперед
| 04  |       Нет           |       Нет         |Повернуться на лево |         Да            |Шагнуть вперед
| 05  |        Нет          |      Да           |        -           |        Да             |Шагнуть вперед
| 06  |        Нет          |        Нет        |Повернуться на лево |        Да             |Шагнуть вперед
| 07  |        Нет          |         Да        |        -           |       Нет             |Повернуться на право  
| 08  |        Нет          |        Да         |         -          |        Да             |Шагнуть вперед      
| 09  |         Нет         |         Да        |       -            |        Да             |Шагнуть вперед 
| 10  |         Нет         |         Да        |      -             |        Нет            |Повернуться на право
| 11  |         Нет         |         Да        |      -             |        Да             |Шагнуть вперед    
| 12  |        Нет          |         Да        |      -             |        Нет            |Повернуться на право  
| 13  |        Нет          |        Да         |       -            |        Да             |Шагнуть вперед         
| 14  |       Нет           |     Нет           |Повернуться на лево |        Да             |Шагнуть вперед
| 15  |       Нет           |      Да           |        -           |        Нет            |Повернуться на право
| 16  |        Нет          |        Да         |        -           |        Да             |Шагнуть вперед
| 17  |        Нет          |         Нет       | Повернуться на лево|       Да              |Шагнуть вперед
| 18  |         Нет         |          Да       |      -             |        Да             |Шагнуть вперед
| 19  |         Нет         |         Нет       |Повернуться на лево |          Да           |Шагнуть вперед
| 20  |         Нет         |           Нет     |Повенуться на лево  |       Да              |Шагнуть вперед
| 21  |           Нет       |          Да       |       -            |         Нет           |Повенуться на право
| 22  |         Нет         |      Да           |       -            |            Да         |Шагнуть вперед
| 23  |          Нет        |       Нет         |Повернуться на лево |            Да         |Шагнуть вперед
| 24  |           Нет       |        Да         |      -             |              Нет      |Повернуться на право
| 25  |       Нет           |         Да        |         -          |            Да         |Шагнуть вперед
| 26  |         Нет         |       Нет         |Повернуться на лево |           Да          |Шагнуть вперед
| 27  |         Нет         |         Да        |       -            |            Да         |Шагнуть вперед
| 28  |          Нет        |        Да         |       -            |            Нет        |Повернуться на право
| 29  |            Нет      |         Да        |        -           |             Да        |Шагнуть вперед
| 30  |              Нет    |           Да      |        -           |              Нет      |Повернуться на право
| 31  |              Нет    |          Да       |       -            |           Да          |Шагнуть вперед
| 32  |              Нет    |           Да      |          -         |               Да      |Шагнуть вперед
| 33  |             Нет     |           Да      |      -             |                Нет    |Повоернуться на право
